,round,model 1 train acc,model 1 train loss,model 2 train acc,model 2 train loss,model 1 test acc,model 1 test loss,model 2 test acc,model 2 test loss
0,0,0.13875649916537994,1.7243440973823037,0.0754268097485569,2.2317352886028075,0.13959632844716544,1.7239982407876135,0.0702022076000669,2.2356637613811947
1,10,0.6496690866312689,1.3405838795207332,0.296785259551877,2.0816548012754232,0.6520622471147816,1.3393324833239788,0.2961023295901812,2.0853292339796643
2,20,0.6411562630718678,1.275700382107069,0.4319217712837802,1.997523879306355,0.6419266174579777,1.2738011117303656,0.4274495440819769,2.000786536435669
3,30,0.7059399695947509,1.2306816076533833,0.45999741963445384,1.957583946086116,0.706012885200844,1.2289941088226821,0.4532725862173745,1.9606682847533303
4,40,0.6841417945985161,1.2127041197284976,0.4843984042731416,1.9255208038971252,0.6888663382879394,1.2106508185818459,0.4763442393275429,1.9283923246167491
5,50,0.6966441886821341,1.1911798210135311,0.49987467599349794,1.900610038670284,0.6958450798565593,1.1892464591180165,0.4968820035731505,1.9031535450343269
6,60,0.6921305268497758,1.1821034720530856,0.5166029872433671,1.8784822210520162,0.6939492525737071,1.1800346518697975,0.5122523775284736,1.8808742339278333
7,70,0.7078296057125475,1.167678857485009,0.5278661425570954,1.8609799321743739,0.7071019696564411,1.1659360656496094,0.5206715557226812,1.863173786777667
8,80,0.7083362347441445,1.1611148266720606,0.5404759316365665,1.847865412797299,0.7080071694330216,1.1593358131985805,0.5324111610923022,1.8498776096997118
9,90,0.7096487734184788,1.155131166440391,0.5422278514597199,1.8329400372969342,0.7086948508089336,1.1532878288704795,0.5357375766206888,1.8348109140681963
10,100,0.7112756868157731,1.150475284160792,0.5496634249590577,1.8218722214653755,0.7100995227126924,1.1485994061083176,0.5438824542194036,1.8237615016532478
11,110,0.713648414741527,1.1469192100414516,0.5537030370611209,1.8134053270795663,0.7099044518369175,1.144744170090053,0.5513183988584442,1.8153166968544907
